Shooter,Goalie,Shooter_Year,Goalie_Year
Aaron Ekblad,Karel Vejmelka,2021,2021
Jonathan Huberdeau,Karel Vejmelka,2021,2021
Liam O'Brien,Spencer Knight,2021,2021
Phil Kessel,Spencer Knight,2021,2021
Chris Tanev,Igor Shesterkin,2021,2021
Andrew Mangiapane,Igor Shesterkin,2021,2021
Kevin Rooney,Jacob Markstrom,2021,2021
Blake Coleman,Igor Shesterkin,2021,2021
Mikael Backlund,Igor Shesterkin,2021,2021
Andrew Mangiapane,Igor Shesterkin,2021,2021
Auston Matthews,Frederik Andersen,2021,2021
Sebastian Aho,Jack Campbell,2021,2021
Steven Lorentz,Jack Campbell,2021,2021
Nino Niederreiter,Jack Campbell,2021,2021
Oliver Bjorkstrand,Braden Holtby,2021,2021
Gregory Hofmann,Braden Holtby,2021,2021
Zach Werenski,Braden Holtby,2021,2021
Tyler Seguin,Elvis Merzlikins,2021,2021
Vladimir Tarasenko,Jonathan Quick,2021,2021
Vladimir Tarasenko,Jonathan Quick,2021,2021
Milan Lucic,Nico Daws,2021,2021
Andrew Mangiapane,Nico Daws,2021,2021
Elias Lindholm,Nico Daws,2021,2021
Andrew Mangiapane,Scott Wedgewood,2021,2021
Pavel Zacha,Dan Vladar,2021,2021
Matthew Tkachuk,Scott Wedgewood,2021,2021
Dawson Mercer,Dan Vladar,2021,2021
Pavel Zacha,Dan Vladar,2021,2021
Brayden Point,Tristan Jarry,2021,2021
Ondrej Palat,Tristan Jarry,2021,2021
Ryan McDonagh,Tristan Jarry,2021,2021
Jason Zucker,Andrei Vasilevskiy,2021,2021
Matt Duchene,James Reimer,2021,2021
Filip Forsberg,James Reimer,2021,2021
Timo Meier,Juuse Saros,2021,2021
Chandler Stephenson,Darcy Kuemper,2021,2021
Reilly Smith,Darcy Kuemper,2021,2021
Cale Makar,Robin Lehner,2021,2021
Mats Zuccarello,Thatcher Demko,2021,2021
Jonas Brodin,Thatcher Demko,2021,2021
Alex Chiasson,Cam Talbot,2021,2021
Mathew Dumba,Thatcher Demko,2021,2021
Bo Horvat,Cam Talbot,2021,2021
Evgeny Svechnikov,John Gibson,2021,2021
Sonny Milano,Connor Hellebuyck,2021,2021
Josh Manson,Connor Hellebuyck,2021,2021
Andrew Copp,John Gibson,2021,2021
Trevor Zegras,Connor Hellebuyck,2021,2021
Nikolaj Ehlers,John Gibson,2021,2021
Nikolaj Ehlers,John Gibson,2021,2021
Jordan Eberle,Jake Allen,2021,2021
Mike Hoffman,Philipp Grubauer,2021,2021
Brandon Tanev,Jake Allen,2021,2021
Yanni Gourde,Jake Allen,2021,2021
Brandon Tanev,Jake Allen,2021,2021
Ryan Donato,Jake Allen,2021,2021
Charlie Coyle,Sergei Bobrovsky,2021,2021
Mason Marchment,Linus Ullmark,2021,2021
Eetu Luostarinen,Linus Ullmark,2021,2021
Anthony Duclair,Linus Ullmark,2021,2021
Alex Ovechkin,Thomas Greiss,2021,2021
Evgeny Kuznetsov,Thomas Greiss,2021,2021
Adam Erne,Vitek Vanecek,2021,2021
Robby Fabbri,Vitek Vanecek,2021,2021
Dylan Larkin,Vitek Vanecek,2021,2021
Kirby Dach,Jack Campbell,2021,2021
Alex DeBrincat,Jack Campbell,2021,2021
John Tavares,Kevin Lankinen,2021,2021
David Kampf,Kevin Lankinen,2021,2021
William Nylander,Kevin Lankinen,2021,2021
Luke Glendening,Laurent Brossoit,2021,2021
Shea Theodore,Anton Khudobin,2021,2021
Alexander Radulov,Laurent Brossoit,2021,2021
