Shooter,Goalie,Shooter_Year,Goalie_Year
Mike Matheson,Braden Holtby,2016,2016
Jaromir Jagr,Braden Holtby,1997,2016
Alex Ovechkin,Roberto Luongo,2016,2016
Marcus Johansson,Roberto Luongo,2016,2016
Teuvo Teravainen,Brian Elliott,2016,2016
Victor Rask,Brian Elliott,2016,2016
Viktor Stalberg,Brian Elliott,2016,2016
Troy Brouwer,Eddie Lack,2016,2016
Johnny Gaudreau,Eddie Lack,2016,2016
Jeff Skinner,Brian Elliott,2016,2016
Nail Yakupov,Cam Talbot,2016,2016
Tyler Pitlick,Jake Allen,2016,2016
Milan Lucic,Jake Allen,2016,2016
Jannik Hansen,Robin Lehner,2016,2016
Daniel Sedin,Robin Lehner,2016,2016
Nick Baptiste,Jacob Markstrom,2016,2016
Dennis Seidenberg,Louis Domingue,2016,2016
Ryan Strome,Louis Domingue,2016,2016
Brad Richardson,Jaroslav Halak,2016,2016
Radim Vrbata,Jaroslav Halak,2016,2016
Johnny Boychuk,Louis Domingue,2016,2016
Zach Werenski,Corey Crawford,2016,2016
Tyler Motte,Sergei Bobrovsky,2016,2016
Nick Foligno,Corey Crawford,2016,2016
William Karlsson,Corey Crawford,2016,2016
Richard Panik,Sergei Bobrovsky,2016,2016
Brendan Gallagher,Anton Khudobin,2016,2016
Phillip Danault,Anton Khudobin,2016,2016
Dominic Moore,Carey Price,2016,2016
Paul Byron,Anton Khudobin,2016,2016
Ryan Spooner,Carey Price,2016,2016
Torrey Mitchell,Anton Khudobin,2016,2016
Justin Abdelkader,Pekka Rinne,2016,2016
P.K. Subban,Petr Mrazek,2016,2016
Mike Ribeiro,Petr Mrazek,2016,2016
Drew Miller,Pekka Rinne,2016,2016
Tomas Tatar,Pekka Rinne,2016,2016
Gustav Nyquist,Pekka Rinne,2016,2016
Mike Fisher,Petr Mrazek,2016,2016
Vladislav Namestnikov,Craig Anderson,2016,2016
Steven Stamkos,Craig Anderson,2016,2016
Chris Neil,Andrei Vasilevskiy,2016,2016
